                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.65231,                 2.4489,                  1.017,                0.32648,                0.51255,                0.38505,                0.35309,                0.37721,                 1.4097,                0.86524,                0.00333,                0.00333,                0.00333
                      1,                0.62172,                 1.4678,                0.98735,                0.36999,                0.53727,                 0.4197,                0.37633,                0.43965,                 1.3545,                0.88762,              0.0065974,              0.0065974,              0.0065974
                      2,                0.73809,                 1.5878,                 1.0369,                0.35022,                0.47353,                0.36228,                0.31107,                0.54032,                 1.4988,                0.94107,              0.0097987,              0.0097987,              0.0097987
                      3,                0.74015,                 1.5537,                 1.0427,                0.42135,                0.54079,                0.44586,                0.39538,                0.47621,                 1.3154,                0.90871,               0.009703,               0.009703,               0.009703
                      4,                0.69623,                 1.4485,                 1.0263,                 0.4339,                 0.5963,                0.47152,                0.42499,                0.44563,                 1.2557,                 0.8947,               0.009703,               0.009703,               0.009703
                      5,                0.66707,                 1.3652,                 1.0127,                0.47183,                0.55685,                0.49917,                0.45325,                0.42225,                 1.2054,                 0.8905,               0.009604,               0.009604,               0.009604
                      6,                0.64898,                 1.3138,                 1.0069,                0.49974,                0.58248,                0.53593,                0.48764,                  0.407,                 1.1333,                0.88068,               0.009505,               0.009505,               0.009505
                      7,                0.62818,                 1.2584,                0.99514,                0.53409,                0.62459,                0.57798,                0.53508,                0.37616,                 1.0467,                0.85995,               0.009406,               0.009406,               0.009406
                      8,                  0.612,                 1.2155,                0.98824,                 0.5525,                0.60631,                0.57575,                0.53271,                0.37985,                  1.047,                0.86965,               0.009307,               0.009307,               0.009307
                      9,                0.60059,                 1.1763,                0.98212,                0.59857,                0.58861,                0.59565,                0.55395,                0.35611,                0.99589,                0.85463,               0.009208,               0.009208,               0.009208
                     10,                0.58654,                 1.1464,                0.97676,                0.55698,                0.65604,                0.62045,                0.58126,                0.34495,                0.97153,                0.85186,               0.009109,               0.009109,               0.009109
                     11,                0.58563,                  1.125,                0.97687,                0.58395,                0.66264,                0.63309,                  0.594,                0.33607,                0.92179,                0.84794,                0.00901,                0.00901,                0.00901
