                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.60488,                 2.5515,                 1.0047,                0.42391,                0.60757,                0.49159,                0.45746,                0.31925,                 1.3322,                0.83836,              0.0033301,              0.0033301,              0.0033301
                      1,                0.57898,                 1.4548,                0.97493,                0.38812,                0.53683,                0.42815,                0.38408,                0.42178,                 1.5824,                0.88148,              0.0065975,              0.0065975,              0.0065975
                      2,                0.69914,                 1.5696,                  1.026,                0.35546,                0.49422,                0.38726,                0.33154,                0.51074,                 1.6792,                0.93416,              0.0097989,              0.0097989,              0.0097989
                      3,                 0.7038,                 1.5179,                 1.0301,                0.44957,                0.57445,                0.49821,                0.44317,                0.43565,                 1.3168,                0.88918,               0.009703,               0.009703,               0.009703
                      4,                0.66058,                  1.405,                 1.0132,                0.47444,                0.59863,                0.53213,                0.47955,                0.42243,                 1.2607,                0.88028,               0.009703,               0.009703,               0.009703
                      5,                0.62127,                 1.3136,                0.99414,                0.52335,                0.62825,                0.57489,                  0.524,                0.38343,                 1.1516,                0.86385,               0.009604,               0.009604,               0.009604
                      6,                0.60452,                 1.2573,                 0.9902,                0.56866,                0.66583,                0.62734,                0.57917,                0.34356,                 1.0239,                0.84641,               0.009505,               0.009505,               0.009505
                      7,                0.58695,                 1.2056,                0.98143,                0.59967,                0.67797,                0.65532,                0.60491,                0.34043,                 0.9838,                0.84578,               0.009406,               0.009406,               0.009406
                      8,                0.57536,                 1.1653,                0.97821,                0.60078,                0.68542,                 0.6559,                0.60861,                0.33208,                0.96677,                0.84054,               0.009307,               0.009307,               0.009307
                      9,                0.55744,                 1.1328,                0.97136,                0.62269,                0.69862,                0.68401,                0.64005,                0.31295,                0.91631,                0.83312,               0.009208,               0.009208,               0.009208
                     10,                0.55153,                 1.1052,                0.96681,                0.65343,                0.69729,                0.69779,                0.65266,                0.30459,                0.88242,                0.82923,               0.009109,               0.009109,               0.009109
                     11,                 0.5456,                 1.0809,                0.96512,                 0.6393,                0.72088,                0.69831,                0.65504,                0.29767,                0.87458,                0.83082,                0.00901,                0.00901,                0.00901
                     12,                0.53317,                  1.052,                0.96058,                0.65553,                0.73084,                0.72217,                0.68155,                0.28714,                0.83284,                0.82399,               0.008911,               0.008911,               0.008911
                     13,                 0.5255,                 1.0281,                0.95745,                0.67091,                0.73417,                0.73229,                0.69061,                0.28234,                0.81162,                 0.8185,               0.008812,               0.008812,               0.008812
                     14,                0.52073,                 1.0075,                0.95388,                0.66203,                0.74107,                0.73963,                0.69961,                0.27867,                0.80716,                0.82121,               0.008713,               0.008713,               0.008713
                     15,                 0.5133,                0.99871,                0.94954,                0.68188,                0.74098,                0.74783,                0.70644,                0.27396,                0.77967,                0.81869,               0.008614,               0.008614,               0.008614
                     16,                 0.5109,                0.98074,                0.94942,                0.67806,                0.75857,                0.75642,                0.71685,                0.26546,                0.75804,                 0.8156,               0.008515,               0.008515,               0.008515
                     17,                0.50383,                0.96144,                0.94679,                0.68836,                0.76643,                 0.7635,                0.72516,                0.26146,                 0.7422,                 0.8138,               0.008416,               0.008416,               0.008416
                     18,                0.50165,                0.94964,                0.94326,                0.70927,                0.75275,                0.77455,                0.73636,                0.25814,                0.71883,                0.81177,               0.008317,               0.008317,               0.008317
                     19,                0.49953,                0.94485,                0.94543,                0.70895,                0.77212,                0.78007,                0.74189,                0.25537,                0.71785,                0.81185,               0.008218,               0.008218,               0.008218
                     20,                0.49475,                0.93188,                0.94247,                0.71233,                0.77221,                0.78604,                0.74937,                0.25131,                0.70461,                0.80993,               0.008119,               0.008119,               0.008119
                     21,                0.48924,                0.90513,                0.94231,                0.72242,                0.77812,                0.79086,                0.75374,                0.25192,                 0.6917,                 0.8115,                0.00802,                0.00802,                0.00802
                     22,                0.48879,                0.90605,                0.94036,                 0.7221,                0.78018,                0.79648,                0.75957,                0.24787,                0.68556,                0.80939,               0.007921,               0.007921,               0.007921
                     23,                0.48192,                0.88677,                0.93658,                0.71627,                0.78569,                0.79682,                0.76076,                0.24475,                0.68268,                0.80814,               0.007822,               0.007822,               0.007822
                     24,                0.48069,                0.88355,                0.93554,                0.72553,                0.78687,                0.80151,                0.76561,                0.24276,                0.67039,                0.80703,               0.007723,               0.007723,               0.007723
                     25,                0.47641,                 0.8694,                0.93307,                0.73921,                0.78623,                0.80517,                0.76977,                0.23995,                0.66767,                0.80581,               0.007624,               0.007624,               0.007624
                     26,                0.47481,                0.85598,                0.93243,                 0.7482,                0.77811,                 0.8088,                0.77314,                0.23746,                0.66206,                0.80498,               0.007525,               0.007525,               0.007525
                     27,                0.47265,                0.84751,                0.93284,                0.74981,                0.77991,                0.81099,                  0.776,                0.23503,                 0.6547,                0.80224,               0.007426,               0.007426,               0.007426
                     28,                0.47301,                0.84416,                0.93058,                0.75251,                0.78777,                 0.8156,                0.78085,                0.23365,                0.64441,                0.80212,               0.007327,               0.007327,               0.007327
                     29,                0.46818,                0.83454,                 0.9298,                0.75536,                0.78656,                0.81723,                0.78325,                0.23274,                0.63692,                0.80335,               0.007228,               0.007228,               0.007228
                     30,                0.46121,                0.82255,                0.92748,                0.75386,                0.78495,                0.81965,                0.78513,                0.23249,                0.63417,                0.80431,               0.007129,               0.007129,               0.007129
                     31,                0.46653,                0.81783,                0.92982,                0.75432,                0.79188,                0.82225,                0.78766,                0.23001,                0.63086,                0.80307,                0.00703,                0.00703,                0.00703
