                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.60291,                 1.6647,                 0.9992,                0.69959,                0.72289,                0.76067,                0.70908,                0.31599,                0.79941,                0.82254,              0.0033311,              0.0033311,              0.0033311
                      1,                0.57504,                0.95642,                 0.9618,                0.73095,                0.72482,                0.76908,                0.69553,                0.38755,                0.81483,                0.85139,              0.0065985,              0.0065985,              0.0065985
                      2,                0.68043,                 1.0865,                 1.0075,                0.69502,                 0.6807,                0.73941,                0.65777,                0.42947,                0.92345,                0.87496,              0.0097998,              0.0097998,              0.0097998
                      3,                0.67673,                 1.0421,                 1.0085,                0.74086,                 0.7381,                 0.7891,                0.71133,                0.40013,                0.78735,                0.86561,               0.009703,               0.009703,               0.009703
                      4,                0.63486,                0.94012,                0.99295,                0.77042,                0.76244,                0.81795,                0.74714,                0.36838,                0.71723,                0.85287,               0.009703,               0.009703,               0.009703
                      5,                0.60559,                0.87988,                0.97975,                0.82799,                0.81233,                0.87049,                0.80262,                0.34174,                  0.592,                0.83937,               0.009604,               0.009604,               0.009604
                      6,                0.58313,                0.82412,                0.97015,                0.84127,                0.81783,                0.88456,                0.82399,                0.31836,                0.54621,                0.83262,               0.009505,               0.009505,               0.009505
                      7,                0.57169,                0.79141,                0.96513,                0.86635,                 0.8344,                0.90102,                0.83986,                0.31704,                0.51163,                0.82983,               0.009406,               0.009406,               0.009406
                      8,                0.55737,                 0.7632,                0.95841,                 0.8771,                0.85578,                 0.9198,                0.86276,                0.29676,                0.46757,                0.82244,               0.009307,               0.009307,               0.009307
                      9,                0.54934,                0.73055,                0.95477,                0.87585,                 0.8515,                0.91184,                0.85704,                0.29257,                0.46802,                0.82294,               0.009208,               0.009208,               0.009208
                     10,                0.53815,                0.70766,                0.94849,                0.89877,                0.86636,                0.93027,                0.87543,                0.28402,                 0.4311,                0.81832,               0.009109,               0.009109,               0.009109
